web-scraper-order,web-scraper-start-url,nama,kewarganegaraan,tipe_pelanggan,tipe_kamar,rating,judul_review,deskripsi,tanggal_review,periode_menginap
1745475234-22,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,jitutalenta,Indonesia,Keluarga dengan anak kecil,Kamar Classic dengan Ranjang Twin,"10,0",“Hotel gak kaleng2”,"Saya sudah nginap disini 3 kali... Bisa dipastikan setahun sekali... Bukan tanpa alasan..  Pelayanan, staf, kebersihan dan sarapan semua ok.. Sangat Recommended...",Diulas pada 30 Desember 2024,Menginap 7 malam pada Desember 2024
1745475234-23,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Erydanianti,Indonesia,Keluarga dengan anak dewasa,Kamar Classic dengan Ranjang King,"10,0",“Menyenangkan”,"Baru pertama menginap disini.. awalnya ragu karena termasuk hotel lama. Ternyata diluar perkiraan.. sesuai dengan promosinya di agoda.
Letaknya di lokasi strategis, lingkungannya asri, staffnya ramah dan melayani dengan baik dan sopan santun, fasiliatas kamar bagus, menu makanan beraneka ragam. Tempat parkir luas. Saya sangat puas dan sangat menyenangkan bisa menginap di Bumi Surabaya City Resort.",Diulas pada 07 Februari 2025,Menginap 2 malam pada Februari 2025
1745475234-24,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Ida,Indonesia,Pasangan,Kamar Classic dengan Ranjang Twin,"10,0",“Hotel yg rindang dan homy”,"Senang dg fasilitas, keramahan karyawan, kebersihan. Suasana tenang sehingga kami bisa istirahat dg nyaman dan kamar yg luas. Next kami akan menginap lagi",Diulas pada 13 Desember 2024,Menginap 1 malam pada Oktober 2024
1745475234-25,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Deasy,Indonesia,Keluarga dengan anak dewasa,Kamar Classic dengan Ranjang King,"8,0",“Staycation @ Dec”,"Secara keseluruhan pelayanan yang kami dapatkan baik, mulai dari Agoda dan hotel. Hanya saja ada yang sedikit mengganggu SAYA, saat kami ber4 (saya dan putri saya berumur 11 tahun) dan kedua orangtua saya saat mo breakfast.

Kronologinya; Karena saya dan suami harus tetap dinas di akhir tahun, kami putuskan untuk staycation di hotel Bumi Surabaya bersama kedua orangtua saya. Jadi kami menyewa 2 kamar.

Saat mo breakfast seperti biasa saya melakukan konfirmasi ke 2 orang petugas dan awalnya saya kira sudah CLEAR. Sesuai dengan aturan, 1 kamar free breakfast untuk 2 org.

Tetapi baru kami berjalan beberapa langkah, saat saya koordinasi dengan putri dan orangtua saya (Lansia),, tiba² ada 1 orang petugas yang mendatangi saya UNTUK MEMASTIKAN bahwa kami HANYA ber4 untuk breakfast.

Saya JELASKAN KEMBALI, sama seperti saya konfirmasi sebelumnya, bahwa kami HANYA ber4 untuk breakfast, karena suami breakfast di kantornya.

Awalnya saya masih bisa bersabar, ""ah, ini hanya konfirmasi ulang aja, kebetulan saya cst yg terpilih untuk di konfirmasi ulang""

Tetapi yang menjadi unek² saya, ""kenapa oknum petugas itu, sampai ngomong, ""KLO ADA LAGI, KAMI CHARGE LHO, BU"".

Lah, Kami juga taulah.. ga usah sampai di ulang berkali-kali. Pengalaman kami saat nginap di hotel bintang 5 lainnya, seperti, maaf saya sebut nama aja ya, (Sheraton atau Westin di Sby) ataupun bintang 5 lainnya di kota lain, ""kami tidak pernah mengalami hal ini"".

Memang kami baru pertama kali staycation di Hotel Bumi Surabaya ini. Sangat disayangkan sekali ada insiden seperti itu. Jadi mikir² lagi klo mo staycation di sini lagi hehe..

Saya biasa melakukan pelayanan publik juga, dan biasanya bila kami perlu konfirmasi ulang, kami selalu melihat dengan baik sikon pelanggan kami. Setelah benar² terkondisi sempurna baru staf kami mengkonfirmasi ulang. Bila masih ada kendala baru saya konfirmasi ulang dengan baik² supaya tercapai win win solution..

Tidak seperti insiden itu, saya masih sibuk mencarikan posisi yang nyaman untuk ortu saya, tiba² didatangi dan diomongin seperti itu. 

Seharusnya khan, setelah beliau berdua duduk nyaman, atau saat saya mo mengambilkan breakfast untuk kedua orangtua saya, baru pelan² dilakukan konfirmasi ulang, rasanya LEBIH MANIS khan. Coba dech klo SDR/SDRI diperlakukan seperti saya, apa ga RIWEUH. 
Jangankan untuk morning drink coffee or tea, tempat nyaman untuk lansia duduk, aja saat itu saya belum dapat, ehhh, udah diomongin seperti itu...

Semoga ulasan saya bermanfaat untuk kita semua, terus meningkatkan kinerja terbaik di mata Allah SWT dan sesama terutama menjaga lansia qt.

Mohon maaf bila ulasan saya terlalu panjang dan ada beberapa pihak yang terganggu.",Diulas pada 01 Januari 2024,Menginap 1 malam pada Desember 2023
1745475234-26,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Charles,Indonesia,Keluarga dengan anak dewasa,Kamar Classic dengan Ranjang King,"10,0",“Menyenangkan”,Hotel dengan suasana yg tenang. Cocok untuk liburan dengan santai. Staff ramah.,Diulas pada 06 April 2025,Menginap 3 malam pada Maret 2025
1745475234-27,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,hans,Indonesia,Pasangan,Kamar Classic dengan Ranjang King,"10,0",“Sangat nyaman”,"Sejak pindah domiaili , kami sudah lama tidak ke sby
Dulu kalo ke sby beberapa kali menginap di sini. Pelayanan sangat konsisten , juga BF , kamar , fasilitas
Sangat baik",Diulas pada 15 Desember 2024,Menginap 1 malam pada Desember 2024
1745475234-28,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,tiambun,Indonesia,Keluarga dengan anak kecil,Kamar Classic dengan Ranjang King,"9,6",“Liburan singkat”,"Hotelnya bersih, fasilitas lengkap. Kolam renangnya bagus dan luas. Untuk sarapan ngak terlalu banyak utk hotel *5. Saran aja kalau tamu sedang banyak kalau bisa FO untuk check out dipisah 1 supaya ngak antri panjanhlg. Selainnya okey",Diulas pada 29 Juli 2024,Menginap 1 malam pada Juli 2024
1745475234-29,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Riza,Indonesia,Wisatawan berkelompok,Kamar Classic dengan Ranjang King,"10,0",“HDCI Kalsel 2 hari di Bumi Surabaya”,"Selama mengikuti Pahlawan Tour 2024, kami menginap di Bumi Surabaya.  Space parkir sangat luas, kamar bersih sekali,
Kamar mandi istimewa.
Makan pagi bervariasi.",Diulas pada 28 Oktober 2024,Menginap 2 malam pada Oktober 2024
1745475234-30,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Novita,Luksemburg,Keluarga dengan anak dewasa,Kamar Classic dengan Ranjang King,"10,0",“Hotel terbaik di Surabaya”,"Setiap kali saya kembali ke Surabaya, saya menginap di sini jika saya ingin beristirahat total terutama ketika saya mengalami jet lag dan kurang tidur. Kamar ini besar, kamar mandinya luas, dan yang terpenting, Anda tidak bisa mendengar suara lalu lintas dari kamar Anda. Suhu di dalam kamar sempurna, tempat tidur sangat nyaman. Televisi kecil tetapi saya lebih suka berada di taman atau gym mereka daripada menonton televisi.

Stafnya luar biasa, sangat sopan dan membantu tetapi menghormati ruang Anda. Saya suka suasananya, suara piano, taman tropis yang indah, kafe yang menawarkan berbagai jenis kopi Indonesia, banyak variasi dan sarapan yang enak, gym dan kolam renang, semuanya sempurna. 
10 dari 10. 
Saya akan kembali lagi tahun depan.",Diulas pada 21 Agustus 2024,Menginap 2 malam pada Agustus 2024
1745475234-31,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Nepsi,Indonesia,Keluarga dengan anak dewasa,Kamar Classic dengan Ranjang Twin,"10,0",“3 hari liburan nyaman”,"Hotel banyak pohon terasa adem utk ukuran Surabaya yg panas, utk kenyamanan taulahh standard Hyatt pasti sangat menyenangkan 👍🏻👍🏻👍🏻",Diulas pada 27 Desember 2024,Menginap 1 malam pada Desember 2024
1745475234-32,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Rhany,Indonesia,Keluarga dengan anak dewasa,Kamar Classic dengan Ranjang King,"7,6",“Breakfast yg memuaskan”,"Hotel yg dulunya Hyatt ini berganti nama menjadi Bumi Surabaya City Resort, fasilitasnya bintang 5, harga murah sekitar 700k / malam, ada kolam renang,gym, breakfast di outdoor area taman dengan pemandangan aestetik seperti di Bali, hotelnya tenang, cocok untuk beristirahat. Kamarnya luas dan bersih, ada tv channel, welcome drink, bath tub dan kamar mandi shower, hair dyer, kulkas, lemari, safetybox, dll. Sayangnya lampu temaram, kurang terang utk make up atau membaca.  Ada beberapa fasilitas yg perlu diperbaiki seperti tv dan toilet. AC sangat dingin di kamar paling ujung AC nya menghadap langsung ke tempat tidur. Breakfast sangat enak dan puas karena banyak sekali variasi makanannya. Makanannya enak2, ada jamu, jus, teh, kopi, bubur tradisional, indomie, nasi uduk, es krim, soto, rawon, wafel pancake, salad, sushi, sosis, pasta, pizza, sandwich, kue2 dessert",Diulas pada 12 Januari 2025,Menginap 2 malam pada Januari 2025
1745475234-33,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Rizki,Indonesia,Wisatawan bisnis,Kamar Classic dengan Ranjang King,"8,4",“A 5-Star Hotel in Name Only”,"I recently stayed at this so-called 5-star hotel, but unfortunately, it has lost much of its former charm, as a Hyatt property. While it still looks like a luxury hotel from the outside, the reality is quite different. The facilities, service quality, cleanliness, and even the food feel more like a 3-star establishment.

The only real advantage of staying here is its central location, which makes it convenient for exploring the city. Additionally, the price is lower compared to other 5-star hotels in the area, which may seem like a good deal at first glance. However, after experiencing the stay, it becomes clear why the rate is lower.

Breakfast was a major disappointment. The selection was very limited, and some of the salad dressings were in poor condition. The once-famous fried rice, which used to be a highlight, has now become just another standard hotel dish. Cleanliness was another issue—linen and towels were questionable, and they didn’t feel fresh or properly maintained.

Overall, this hotel may still carry a 5-star label, but the experience is far from it. If you are looking for a true luxury stay, I’d recommend looking elsewhere.",Diulas pada 20 Februari 2025,Menginap 2 malam pada Februari 2025
1745475234-34,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Yayi,Indonesia,Wisatawan bisnis,Kamar Classic dengan Ranjang Twin,"9,6",“Sebuah permata - sepenuhnya tidak terduga”,"Sebuah hotel tua - bekas Hyatt Regency dan masih memiliki suasana yang sangat mewah. Staf dan layanan luar biasa, gym sangat baik, tempat tidur modern dan nyaman (meskipun terlalu gelap).. Anda harus bersabar untuk mendapatkan air panas di kamar mandi, jadi pastikan Anda bangun lebih awal jika Anda memiliki pertemuan jam 8 pagi di Gresik. Sarapan prasmanan - bervariasi dalam pilihan, yang bagus (rasa hanya oke saja). Saya memberikan ulasan yang baik untuk semuanya kecuali sarapan.",Diulas pada 16 Januari 2025,Menginap 1 malam pada Januari 2025
1745475234-35,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Desi,Indonesia,Keluarga dengan anak kecil,Kamar Classic dengan Ranjang King,"10,0",“Stay Cation”,"Hotel bernuansa resort yg ada di surabaya. Suasana seperti tdk disurabaya . Kamar luas kids friendly jg. Coba ada playground makin mantapppp.
Fasilitas kolam renang enak ada dewasa dan anak2 ada air hangat bisa fitness dan gym jga. 
Cuman menu buffet sarapan perlu di perbaiki menurut saya. Tp soto dagingnya enak kopi cappucinonya jga.
Untuk kebersihan oke. Cuman brp th lalu spertunya hotelnya harum sekali khas hotel bumi. Brasa di rumah spa. Skrg tdk ada harum sprti it ya. Padahal sy suka tdk ada hotel2 di lain. 

Tp sangat mengesankan stay cation disana bersama klrga kecil saya. Bisa di ulangin lagi di lain waktu.",Diulas pada 19 Juli 2024,Menginap 1 malam pada Juli 2024
1745475234-36,https://www.agoda.com/id-id/bumi-surabaya-city-resort/hotel/surabaya-id.html?ds=Y3V54m4LA4nHoSrE,Chaqiqotu,Indonesia,Keluarga dengan anak kecil,Kamar Classic dengan Ranjang King,"9,2",“Nice Trip”,"Overall memuaskan, makanan enak, pelayanan baik dan ramah as always, hanya saja mungkin kelewat pembersihan di dalam kulkas, karena pada saat saya stay, masih ada makanan tamu sebelumnya dikulkas.",Diulas pada 09 April 2025,Menginap 1 malam pada April 2025
